日期,地点,飞机号,机型,环境温度(℃),左边CONT CABIN DUCT,左边L PACK,右边FWD DUCT,右边AFT DUCT,右边L PACK,执行反吹左侧,执行反吹右侧,更换部件,Fail,左温差,右温差
2019-06-20 01:34,XIY,1161,737-800,21,5,30,4,4,32,,,,,9,11
2019-06-20 01:28,PEK,5482,737-800,25,4,30,7,6,30,,,,,5,5
2019-06-20 01:22,CKG,1386,737-800,25,7,37,5,5,37,,,,,12,12
2019-06-20 01:22,URC,1725,737-800,27,5,30,4,4,32,,,,,3,5
2019-06-20 01:20,XIY,5141,737-800,22,4,28,4,4,26,,,,,6,4
2019-06-20 01:19,XIY,1795,737-800,25,4,34,8,8,34,,,,,9,9
2019-06-20 01:19,XIY,1795,737-800,25,4,34,8,8,34,,,,,9,9
2019-06-20 01:19,XIY,5852,737-800,25,4,30,4,4,28,,,,,5,3
2019-06-20 01:13,URC,7198,737-800,25,3,30,3,3,28,,,,,5,3
2019-06-20 01:12,MIG,6809,737-800,26,5,30,6,5,30,,,,,4,4
2019-06-20 01:10,CGO,7167,737-800,26,5,25,6,5,26,,,,,-1,0
2019-06-20 01:10,TYN,1996,737-800,23,4,26,5,6,28,,,,,3,5
2019-06-20 01:09,URC,5611,737-800,25,6,27,6,5,27,,,,,2,2
